Frequency (MHz)	Ang(S(2,1)) (Deg) : Circular Pol midband	Ang(S(3,1)) (Deg) : Circular Pol midband
50	168.074	-103.067
50.1	167.817	-103.326
50.2	167.564	-103.581
50.3	167.316	-103.831
50.4	167.07	-104.078
50.5	166.828	-104.322
50.6	166.587	-104.565
50.7	166.349	-104.805
50.8	166.114	-105.041
50.9	165.882	-105.274
51	165.653	-105.503
51.1	165.428	-105.731
51.2	165.206	-105.955
51.3	164.986	-106.177
51.4	164.769	-106.395
51.5	164.554	-106.611
51.6	164.342	-106.823
51.7	164.133	-107.033
51.8	163.926	-107.24
51.9	163.721	-107.444
52	163.519	-107.646
52.1	163.323	-107.845
52.2	163.129	-108.042
52.3	162.938	-108.236
52.4	162.748	-108.429
52.5	162.56	-108.619
52.6	162.392	-108.788
52.7	162.226	-108.954
52.8	162.063	-109.117
52.9	161.903	-109.278
53	161.746	-109.435
53.1	161.591	-109.594
53.2	161.439	-109.749
53.3	161.289	-109.903
53.4	161.141	-110.054
53.5	160.995	-110.203
53.6	160.85	-110.351
53.7	160.706	-110.498
53.8	160.564	-110.642
53.9	160.424	-110.784
54	160.286	-110.925
54.1	160.152	-111.062
54.2	160.019	-111.196
54.3	159.888	-111.329
54.4	159.758	-111.461
54.5	159.629	-111.591
54.6	159.502	-111.72
54.7	159.375	-111.848
54.8	159.25	-111.975
54.9	159.126	-112.1
55	159.003	-112.224
55.1	158.929	-112.301
55.2	158.856	-112.377
55.3	158.781	-112.453
55.4	158.707	-112.53
55.5	158.633	-112.606
55.6	158.559	-112.682
55.7	158.485	-112.759
55.8	158.411	-112.835
55.9	158.337	-112.911
56	158.263	-112.987
56.1	158.191	-113.064
56.2	158.118	-113.141
56.3	158.046	-113.217
56.4	157.974	-113.294
56.5	157.901	-113.37
56.6	157.828	-113.445
56.7	157.754	-113.521
56.8	157.681	-113.596
56.9	157.607	-113.671
57	157.533	-113.746
57.1	157.459	-113.824
57.2	157.385	-113.901
57.3	157.311	-113.978
57.4	157.237	-114.055
57.5	157.163	-114.133
57.6	156.899	-114.4
57.7	156.641	-114.662
57.8	156.388	-114.919
57.9	156.139	-115.171
58	155.896	-115.419
58.1	155.657	-115.662
58.2	155.422	-115.9
58.3	155.191	-116.135
58.4	154.965	-116.365
58.5	154.742	-116.592
58.6	154.523	-116.812
58.7	154.309	-117.029
58.8	154.098	-117.242
58.9	153.89	-117.452
59	153.685	-117.658
59.1	153.484	-117.864
59.2	153.286	-118.067
59.3	153.091	-118.267
59.4	152.898	-118.464
59.5	152.708	-118.658
59.6	152.522	-118.849
59.7	152.338	-119.038
59.8	152.156	-119.224
59.9	151.977	-119.408
60	151.8	-119.59
60.1	151.549	-119.846
60.2	151.304	-120.095
60.3	151.064	-120.339
60.4	150.83	-120.578
60.5	150.601	-120.812
60.6	150.375	-121.041
60.7	150.153	-121.266
60.8	149.936	-121.487
60.9	149.723	-121.703
61	149.514	-121.915
61.1	149.312	-122.122
61.2	149.114	-122.325
61.3	148.919	-122.525
61.4	148.728	-122.721
61.5	148.54	-122.914
61.6	148.355	-123.103
61.7	148.173	-123.288
61.8	147.994	-123.471
61.9	147.818	-123.651
62	147.644	-123.828
62.1	147.473	-124.004
62.2	147.304	-124.178
62.3	147.137	-124.35
62.4	146.973	-124.519
62.5	146.811	-124.686
62.6	146.591	-124.911
62.7	146.375	-125.132
62.8	146.163	-125.348
62.9	145.956	-125.561
63	145.752	-125.77
63.1	145.552	-125.975
63.2	145.355	-126.177
63.3	145.161	-126.375
63.4	144.971	-126.57
63.5	144.784	-126.762
63.6	144.6	-126.951
63.7	144.42	-127.137
63.8	144.242	-127.32
63.9	144.066	-127.501
64	143.893	-127.678
64.1	143.724	-127.854
64.2	143.557	-128.027
64.3	143.392	-128.197
64.4	143.229	-128.365
64.5	143.068	-128.531
64.6	142.909	-128.696
64.7	142.752	-128.859
64.8	142.596	-129.02
64.9	142.442	-129.179
65	142.29	-129.336
65.1	142.07	-129.561
65.2	141.856	-129.782
65.3	141.645	-129.998
65.4	141.439	-130.211
65.5	141.236	-130.419
65.6	141.039	-130.621
65.7	140.845	-130.82
65.8	140.655	-131.015
65.9	140.469	-131.207
66	140.285	-131.395
66.1	140.105	-131.583
66.2	139.928	-131.767
66.3	139.753	-131.948
66.4	139.582	-132.127
66.5	139.413	-132.302
66.6	139.246	-132.474
66.7	139.081	-132.643
66.8	138.919	-132.81
66.9	138.759	-132.974
67	138.601	-133.136
67.1	138.45	-133.296
67.2	138.3	-133.454
67.3	138.153	-133.61
67.4	138.007	-133.764
67.5	137.864	-133.915
67.6	137.574	-134.211
67.7	137.291	-134.499
67.8	137.014	-134.781
67.9	136.744	-135.057
68	136.479	-135.327
68.1	136.221	-135.592
68.2	135.967	-135.851
68.3	135.719	-136.106
68.4	135.476	-136.355
68.5	135.238	-136.6
68.6	135.004	-136.838
68.7	134.775	-137.072
68.8	134.55	-137.302
68.9	134.329	-137.528
69	134.113	-137.749
69.1	133.903	-137.968
69.2	133.697	-138.184
69.3	133.494	-138.396
69.4	133.295	-138.604
69.5	133.099	-138.81
69.6	132.902	-139.011
69.7	132.708	-139.21
69.8	132.518	-139.405
69.9	132.329	-139.598
70	132.144	-139.788
70.1	131.917	-140.023
70.2	131.694	-140.253
70.3	131.476	-140.479
70.4	131.261	-140.701
70.5	131.05	-140.92
70.6	130.845	-141.133
70.7	130.644	-141.344
70.8	130.446	-141.55
70.9	130.252	-141.754
71	130.06	-141.954
71.1	129.804	-142.216
71.2	129.554	-142.473
71.3	129.308	-142.725
71.4	129.067	-142.973
71.5	128.83	-143.215
71.6	128.594	-143.456
71.7	128.363	-143.693
71.8	128.136	-143.926
71.9	127.912	-144.154
72	127.692	-144.379
72.1	127.433	-144.647
72.2	127.18	-144.909
72.3	126.932	-145.166
72.4	126.688	-145.418
72.5	126.45	-145.665
72.6	126.211	-145.911
72.7	125.976	-146.153
72.8	125.746	-146.39
72.9	125.52	-146.623
73	125.297	-146.852
73.1	124.999	-147.158
73.2	124.707	-147.457
73.3	124.421	-147.75
73.4	124.142	-148.037
73.5	123.867	-148.318
73.6	123.598	-148.595
73.7	123.334	-148.867
73.8	123.075	-149.134
73.9	122.821	-149.396
74	122.572	-149.653
74.1	122.318	-149.915
74.2	122.069	-150.172
74.3	121.825	-150.423
74.4	121.587	-150.67
74.5	121.353	-150.911
74.6	121.125	-151.147
74.7	120.901	-151.379
74.8	120.682	-151.606
74.9	120.466	-151.829
75	120.255	-152.048
75.1	119.998	-152.311
75.2	119.747	-152.569
75.3	119.501	-152.821
75.4	119.26	-153.068
75.5	119.024	-153.311
75.6	118.791	-153.552
75.7	118.563	-153.788
75.8	118.339	-154.021
75.9	118.118	-154.249
76	117.902	-154.473
76.1	117.597	-154.787
76.2	117.299	-155.093
76.3	117.008	-155.394
76.4	116.722	-155.688
76.5	116.442	-155.976
76.6	116.169	-156.257
76.7	115.902	-156.532
76.8	115.64	-156.802
76.9	115.383	-157.067
77	115.13	-157.327
77.1	114.832	-157.634
77.2	114.54	-157.935
77.3	114.255	-158.229
77.4	113.975	-158.516
77.5	113.702	-158.798
77.6	113.436	-159.071
77.7	113.174	-159.338
77.8	112.919	-159.6
77.9	112.668	-159.857
78	112.421	-160.109
78.1	112.096	-160.444
78.2	111.778	-160.771
78.3	111.468	-161.091
78.4	111.164	-161.404
78.5	110.867	-161.71
78.6	110.578	-162.008
78.7	110.295	-162.3
78.8	110.018	-162.587
78.9	109.746	-162.867
79	109.48	-163.142
79.1	109.169	-163.461
79.2	108.866	-163.773
79.3	108.57	-164.078
79.4	108.28	-164.376
79.5	107.997	-164.668
79.6	107.721	-164.953
79.7	107.451	-165.232
79.8	107.186	-165.505
79.9	106.927	-165.772
80	106.673	-166.034
80.1	106.332	-166.383
80.2	105.999	-166.723
80.3	105.674	-167.056
80.4	105.356	-167.381
80.5	105.046	-167.699
80.6	104.744	-168.009
80.7	104.448	-168.312
80.8	104.159	-168.609
80.9	103.876	-168.9
81	103.598	-169.186
81.1	103.255	-169.539
81.2	102.92	-169.883
81.3	102.592	-170.22
81.4	102.273	-170.549
81.5	101.96	-170.87
81.6	101.656	-171.183
81.7	101.359	-171.489
81.8	101.068	-171.789
81.9	100.783	-172.082
82	100.504	-172.37
82.1	100.129	-172.753
82.2	99.7646	-173.127
82.3	99.4088	-173.492
82.4	99.0614	-173.848
82.5	98.7223	-174.196
82.6	98.3926	-174.533
82.7	98.0705	-174.862
82.8	97.7555	-175.184
82.9	97.4473	-175.498
83	97.1457	-175.807
83.1	96.7637	-176.197
83.2	96.3911	-176.578
83.3	96.0276	-176.95
83.4	95.6727	-177.313
83.5	95.3261	-177.667
83.6	94.9902	-178.012
83.7	94.6618	-178.349
83.8	94.3407	-178.679
83.9	94.0266	-179.002
84	93.7191	-179.318
84.1	93.3077	-179.737
84.2	92.907	179.854
84.3	92.5165	179.456
84.4	92.1357	179.067
84.5	91.7641	178.688
84.6	91.4026	178.319
84.7	91.0495	177.958
84.8	90.7045	177.606
84.9	90.3672	177.261
85	90.0374	176.924
85.1	89.6018	176.48
85.2	89.1775	176.048
85.3	88.7641	175.626
85.4	88.3609	175.215
85.5	87.9676	174.814
85.6	87.5838	174.422
85.7	87.2091	174.04
85.8	86.843	173.666
85.9	86.4851	173.3
86	86.1352	172.943
86.1	85.6746	172.475
86.2	85.2261	172.019
86.3	84.7893	171.576
86.4	84.3635	171.143
86.5	83.9483	170.721
86.6	83.5437	170.309
86.7	83.1487	169.906
86.8	82.763	169.513
86.9	82.3861	169.129
87	82.0176	168.754
87.1	81.5389	168.268
87.2	81.0731	167.794
87.3	80.6196	167.333
87.4	80.1779	166.884
87.5	79.7474	166.447
87.6	79.3309	166.024
87.7	78.9247	165.611
87.8	78.5282	165.209
87.9	78.1411	164.815
88	77.7629	164.431
88.1	77.2333	163.896
88.2	76.7184	163.375
88.3	76.2175	162.868
88.4	75.7299	162.375
88.5	75.255	161.894
88.6	74.7955	161.427
88.7	74.3475	160.972
88.8	73.9107	160.528
88.9	73.4844	160.095
89	73.0682	159.672
89.1	72.5089	159.109
89.2	71.9653	158.562
89.3	71.4368	158.031
89.4	70.9225	157.513
89.5	70.4219	157.01
89.6	69.9395	156.52
89.7	69.4694	156.042
89.8	69.0112	155.577
89.9	68.5643	155.122
90	68.1282	154.679
90.1	67.525	154.075
90.2	66.9506	153.493
90.3	66.3859	152.922
90.4	65.8338	152.375
90.5	65.294	151.836
90.6	64.779	151.315
90.7	64.2721	150.802
90.8	63.7802	150.301
90.9	63.2896	149.813
91	62.8251	149.336
91.1	62.1694	148.676
91.2	61.5428	148.05
91.3	60.9319	147.428
91.4	60.3305	146.837
91.5	59.7483	146.249
91.6	59.1831	145.682
91.7	58.6342	145.135
91.8	58.1013	144.594
91.9	57.5748	144.067
92	57.0662	143.55
92.1	56.3522	142.843
92.2	55.6669	142.151
92.3	54.9952	141.481
92.4	54.3451	140.829
92.5	53.7158	140.205
92.6	53.096	139.585
92.7	52.4977	138.981
92.8	51.9206	138.402
92.9	51.3415	137.825
93	50.796	137.278
93.1	50.0218	136.507
93.2	49.269	135.757
93.3	48.5484	135.03
93.4	47.8388	134.326
93.5	47.1557	133.642
93.6	46.4856	132.977
93.7	45.8439	132.331
93.8	45.2008	131.697
93.9	44.5894	131.09
94	43.993	130.492
94.1	43.1321	129.637
94.2	42.3042	128.814
94.3	41.4975	128.018
94.4	40.7246	127.242
94.5	39.967	126.487
94.6	39.2312	125.753
94.7	38.5166	125.044
94.8	37.8182	124.356
94.9	37.1487	123.688
95	36.487	123.033
95.1	35.539	122.094
95.2	34.6227	121.178
95.3	33.7278	120.3
95.4	32.8715	119.441
95.5	32.0328	118.61
95.6	31.2105	117.796
95.7	30.415	117.012
95.8	29.6467	116.247
95.9	28.8962	115.508
96	28.1666	114.786
96.1	27.1255	113.757
96.2	26.1112	112.752
96.3	25.1336	111.786
96.4	24.1808	110.851
96.5	23.2614	109.931
96.6	22.3622	109.049
96.7	21.4873	108.192
96.8	20.6467	107.354
96.9	19.8235	106.543
97	19.0178	105.754
97.1	17.8585	104.607
97.2	16.7326	103.498
97.3	15.644	102.427
97.4	14.5828	101.384
97.5	13.5577	100.368
97.6	12.5604	99.3861
97.7	11.5883	98.4312
97.8	10.6485	97.5058
97.9	9.73868	96.6068
98	8.84392	95.7324
98.1	7.56715	94.4748
98.2	6.33847	93.2648
98.3	5.13679	92.0844
98.4	3.97463	90.9387
98.5	2.85177	89.837
98.6	1.75674	88.7566
98.7	0.683755	87.7094
98.8	-0.349663	86.6895
98.9	-1.36042	85.7042
99	-2.33922	84.7447
99.1	-3.72887	83.3739
99.2	-5.08194	82.0362
99.3	-6.39195	80.7502
99.4	-7.663	79.5022
99.5	-8.90491	78.2868
99.6	-10.1066	77.0925
99.7	-11.2724	75.9547
99.8	-12.4167	74.8409
99.9	-13.5127	73.7557
100	-14.5956	72.7005
100.1	-15.9547	71.3579
100.2	-17.2833	70.0564
100.3	-18.5711	68.785
100.4	-19.8305	67.5529
100.5	-21.0451	66.3508
100.6	-22.4489	64.9678
100.7	-23.8141	63.6236
100.8	-25.1429	62.3154
100.9	-26.437	61.0486
101	-27.6962	59.8047
101.1	-29.1443	58.3797
101.2	-30.5508	56.9881
101.3	-31.9166	55.6435
101.4	-33.2535	54.322
101.5	-34.5469	53.0474
101.6	-36.0107	51.5997
101.7	-37.4381	50.1875
101.8	-38.8338	48.8065
101.9	-40.1921	47.466
102	-41.5101	46.162
102.1	-42.9835	44.7048
102.2	-44.4204	43.2827
102.3	-45.8189	41.8898
102.4	-47.1995	40.5293
102.5	-48.5288	39.2074
102.6	-50.0037	37.7408
102.7	-51.4515	36.3029
102.8	-52.8713	34.8958
102.9	-54.2532	33.5206
103	-55.6057	32.1768
103.1	-57.0831	30.7107
103.2	-58.5285	29.2712
103.3	-59.9496	27.8624
103.4	-61.336	26.478
103.5	-62.6942	25.1264
103.6	-64.145	23.6741
103.7	-65.5766	22.2433
103.8	-66.9803	20.85
103.9	-68.36	19.4746
104	-69.7075	18.1327
104.1	-71.1344	16.6987
104.2	-72.5448	15.2915
104.3	-73.9282	13.908
104.4	-75.2879	12.549
