Frequency (MHz)	"Ang(S(2,1)) (Deg) : pol_switch_cirular_mode_pol1"	"Ang(S(2,1)) (Deg) : pol_switch_cirular_mode_pol2"
50	-1.33934	-98.8605
50.2	-84.8956	-53.8318
50.4	45.4091	-87.9954
50.6	-14.9802	-111.399
50.8	175.133	-67.7589
51	-74.298	-101.148
51.2	-165.518	-68.887
51.4	1.12164	-97.6304
51.6	-77.9238	-102.438
51.8	-5.92893	-72.2152
52	16.6573	-107.269
52.2	67.7341	-79.9302
52.4	-36.8506	-96.9367
52.6	43.7435	-67.1218
52.8	75.2621	-72.5649
53	67.5252	-75.7244
53.2	96.1125	-62.4661
53.4	40.1189	-90.6503
53.6	-92.9653	-70.7201
53.8	57.0521	-97.3074
54	-10.7198	-93.1694
54.2	-67.4293	-76.9247
54.4	98.6643	-84.9193
54.6	65.6147	-91.3243
54.8	-30.7107	-120.847
55	164.594	-94.41
55.2	-5.58187	-110.317
55.4	17.6359	-107.201
55.6	-14.7154	-117.185
55.8	-75.0195	-100.875
56	18.6474	-108.963
56.2	113.884	-104.998
56.4	-53.3836	-104.752
56.6	-149.149	-112.127
56.8	-38.3983	-128.835
57	12.6355	-114.868
57.2	-60.5688	-110.953
57.4	6.39286	-119.166
57.6	-15.5506	-106.261
57.8	33.4629	-132.79
58	-4.71867	-114.359
58.2	-47.9799	-122.564
58.4	57.3329	-127.487
58.6	-1.27779	-118.142
58.8	-6.78231	-137.772
59	-78.5335	-121.903
59.2	-45.29	-127.356
59.4	-32.695	-133.857
59.6	-47.4439	-137.397
59.8	-35.5718	-128.323
60	-52.4905	-129.72
60.2	-13.7588	-137.249
60.4	-40.0495	-141.177
60.6	-34.503	-145.956
60.8	-44.8508	-132.347
61	-63.36	-149.719
61.2	-67.1686	-134.804
61.4	-38.7786	-146.092
61.6	-55.1845	-152.304
61.8	-47.6219	-148.31
62	-66.0345	-143.052
62.2	-38.7613	-157.47
62.4	-26.1996	-146.316
62.6	-63.5668	-144.468
62.8	-56.4552	-150.884
63	-30.4886	-149.455
63.2	-74.1591	-153.978
63.4	-48.7848	-163.2
63.6	-48.428	-158.868
63.8	-74.6236	-162.832
64	-77.0256	-161.857
64.2	-61.7913	-159.617
64.4	-57.0302	-162.026
64.6	-74.0763	-164.795
64.8	-70.3232	-168.016
65	-54.6645	-170.322
65.2	-69.6468	-166.235
65.4	-57.3869	-173.783
65.6	-67.2265	-167.158
65.8	-73.3945	-176.312
66	-64.1448	-178.231
66.2	-88.2018	-173.467
66.4	-90.315	-176.099
66.6	-83.9211	178.694
66.8	-78.0456	-176
67	-86.2768	177.815
67.2	-91.5595	179.021
67.4	-92.362	176.331
67.6	-78.0028	174.576
67.8	-102.918	175.968
68	-81.1664	168.143
68.2	-98.3456	169.756
68.4	-95.2636	171.69
68.6	-96.0782	167.09
68.8	-99.4337	165.309
69	-92.6209	164.208
69.2	-98.8616	163.886
69.4	-98.8024	162.314
69.6	-90.8591	165.083
69.8	-108.854	158.801
70	-103.671	158.764
70.2	-110.982	155.973
70.4	-111.307	155.691
70.6	-94.0721	155.606
70.8	-105.125	151.412
71	-106.227	151.501
71.2	-112.596	149.387
71.4	-115.501	147.214
71.6	-115.179	148.558
71.8	-115.272	145.263
72	-119.851	144.475
72.2	-118.326	140.905
72.4	-115.524	141.824
72.6	-120.634	140.798
72.8	-130.505	140.3
73	-127.461	136.144
73.2	-129.071	135.875
73.4	-128.31	134.596
73.6	-126.956	132.646
73.8	-127.279	131.522
74	-127.943	129.673
74.2	-134.881	128.531
74.4	-139.894	126.483
74.6	-137.719	125.047
