Frequency (MHz)	Ang(S(2,1)) (Deg) : Pol1	Ang(S(2,1)) (Deg) : Pol2
50	-178.591	177.193
50.2	86.0649	-38.4804
50.4	-3.03605	55.6597
50.6	-24.6546	24.0051
50.8	34.3088	-159.452
51	47.3458	-105.951
51.2	-158.402	162.392
51.4	-98.3124	179.58
51.6	18.7742	66.3256
51.8	-127.039	160.297
52	171.107	172.969
52.2	-18.0461	-138.147
52.4	-29.4484	161.927
52.6	135.053	-42.9239
52.8	-171.153	88.6175
53	168.499	32.2084
53.2	73.0981	-100.494
53.4	37.6071	-153.026
53.6	-107.804	5.23786
53.8	-141.382	-39.9415
54	-9.28807	-154.712
54.2	-143.477	-3.97742
54.4	57.8297	23.7091
54.6	140.986	-122.292
54.8	-119.867	122.038
55	-46.5261	-69.5447
55.2	-76.196	69.9231
55.4	-102.139	-162.454
55.6	2.64387	-39.8473
55.8	106.219	53.4334
56	51.6682	-25.6444
56.2	94.9339	-94.5221
56.4	-70.8355	157.383
56.6	-133.914	-81.2
56.8	10.1495	8.2578
57	-84.6382	120.001
57.2	93.702	106.455
57.4	-83.1393	16.0371
57.6	-49.6619	119.968
57.8	-107.91	108.013
58	28.3403	71.0014
58.2	45.0877	149.709
58.4	-149.077	38.7047
58.6	-155.698	50.4378
58.8	-96.3555	110.583
59	116.04	43.7179
59.2	-30.1222	-167.787
59.4	-110.778	-86.8078
59.6	38.7819	155.371
59.8	36.9334	-119.257
60	57.3805	113.148
60.2	124.833	-14.2588
60.4	-149.52	-153.117
60.6	67.3104	142.905
60.8	-88.249	113.517
61	178.491	155.944
61.2	73.8025	116.064
61.4	129.041	88.2661
61.6	70.8955	93.4679
61.8	114.263	48.6035
62	-160.687	178.058
62.2	142.983	106.412
62.4	-167.116	48.0167
62.6	157.798	115.081
62.8	121.597	118.318
63	-81.3269	-146.815
63.2	105.922	-139.717
63.4	151.682	143.156
63.6	7.99418	67.6848
63.8	-28.6594	173.425
64	-153.409	31.6198
64.2	92.0584	101.496
64.4	176.09	94.2283
64.6	91.7874	-11.4332
64.8	-4.0493	-162.699
65	-155.974	77.0832
65.2	11.5778	-13.1993
65.4	-29.6523	109.401
65.6	-56.7915	144.497
65.8	-128.141	95.7921
66	90.5142	75.5423
66.2	-113.484	87.338
66.4	5.34545	-11.4078
66.6	-56.3937	168.075
66.8	15.0792	-164.903
67	125.242	122.303
67.2	-150.406	12.1213
67.4	-33.8952	59.6917
67.6	-166.744	82.087
67.8	104.969	31.7872
68	-167.206	139.86
68.2	-79.7358	47.9848
68.4	164.314	72.7204
68.6	88.5461	91.8169
68.8	151.723	68.1245
69	77.7632	81.5829
69.2	-136.003	47.9108
69.4	22.3685	169.227
69.6	71.0111	52.6427
69.8	-138.987	82.1987
70	173.039	153.038
70.2	145.386	131.526
70.4	166.111	133.371
70.6	153.495	145.866
70.8	-175.272	72.4282
71	7.34111	109.333
71.2	22.4557	90.3915
71.4	-36.8835	87.5384
71.6	95.378	102.672
71.8	-33.8181	89.9494
72	96.3335	96.2612
72.2	-87.4941	83.6519
72.4	52.5384	56.6042
72.6	49.5545	45.5625
72.8	21.9619	58.4841
73	-71.607	20.9692
73.2	133.03	91.1746
73.4	121.577	134.182
73.6	-102.166	100.073
73.8	-82.1543	80.4983
74	158.63	68.7668
74.2	-148.958	101.844
74.4	-150.648	83.0009
74.6	128.928	91.5673
74.8	114.742	85.619
75	-134.888	90.962
75.2	76.4567	62.4658
75.4	-13.6081	98.9736
75.6	126.856	72.937
75.8	78.889	68.5321
76	-132.672	87.3101
76.2	-135.934	101.513
76.4	166.887	83.5032
76.6	-93.3025	49.9923
76.8	37.1586	53.2499
77	131.419	72.3311
77.2	130.761	73.1441
77.4	43.2162	59.4412
77.6	-156.615	59.1578
77.8	64.2191	66.1805
78	-135.842	57.0361
78.2	-139.478	56.2355
78.4	141.695	55.4484
78.6	-122.11	67.4183
78.8	-175.532	65.8882
79	166.439	61.5143
79.2	163.016	48.9654
79.4	128.022	52.638
79.6	118.719	73.2649
79.8	-178.147	68.7606
80	-145.592	65.1433
80.2	-166.935	68.6654
80.4	-136.828	67.9661
80.6	179.573	62.5921
80.8	-170.247	61.0592
81	-172.039	53.4609
81.2	-139.085	63.0219
81.4	158.89	59.908
81.6	174.741	52.9031
81.8	122.499	53.1978
82	174.615	57.0485
82.2	128.241	55.3195
82.4	123.614	61.1176
82.6	168.045	56.9172
82.8	153.699	57.6961
83	103.527	50.8524
83.2	-175.601	62.0454
83.4	173.231	45.4407
83.6	176.907	55.4694
83.8	103.295	56.4856
84	122.649	40.1173
84.2	172.021	39.65
84.4	137.574	50.8084
84.6	156.26	37.5769
84.8	176.418	51.2102
85	170.324	43.4882
85.2	147.977	42.5281
85.4	145.463	38.1609
85.6	136.216	37.0051
85.8	117.944	35.1518
86	127.071	43.4451
86.2	152.571	41.2087
86.4	118.497	36.5428
86.6	150.25	39.1723
86.8	170.56	39.7996
87	134.983	35.5004
87.2	140.315	37.1395
87.4	156.314	29.5634
87.6	135.921	30.0204
87.8	144.285	31.8689
88	143.093	31.9703
88.2	134.503	24.9471
88.4	135.651	28.7744
88.6	124.848	19.0778
