"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"C1";"10e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C2";"1e-9";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C7";"2.2e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C8";"2.2e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C9";"2.2e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C10";"2.2e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C11";"10e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C12";"1e-9";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C15";"1e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C16";"0.01e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C17";"3.3e-6";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C18";"100e-12";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C19";"100e-12";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C20";"100e-12";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C21";"100e-12";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"C22";"100e-12";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";
"FL1";"RBP-135+";"RBP-135+";"RBP135";"Metal Shield Bandpass Filter";"";"";"";"";"Metal Shield Bandpass Filter";"2.54mm";"Mini-Circuits";"RBP-135+";"";"";"";"";"";"";"";"";"";"";
"FL2";"RBP-135+";"RBP-135+";"RBP135";"Metal Shield Bandpass Filter";"";"";"";"";"Metal Shield Bandpass Filter";"2.54mm";"Mini-Circuits";"RBP-135+";"";"";"";"";"";"";"";"";"";"";
"IC1";"VLPR-24-858-2";"VLPR-24-858-2";"VLPR248582";"LED Light Pipes Light Pipe Vert SMD Rect Face";"";"";"";"";"LED Light Pipes Light Pipe Vert SMD Rect Face";"21mm";"Bivar";"VLPR-24-858-2";"";"";"";"";"";"";"";"9063748";"http://uk.rs-online.com/web/p/products/9063748";"";
"IC2";"VLPR-24-858-2";"VLPR-24-858-2";"VLPR248582";"LED Light Pipes Light Pipe Vert SMD Rect Face";"";"";"";"";"LED Light Pipes Light Pipe Vert SMD Rect Face";"21mm";"Bivar";"VLPR-24-858-2";"";"";"";"";"";"";"";"9063748";"http://uk.rs-online.com/web/p/products/9063748";"";
"IC3";"HSWA2-30DR+";"HSWA2-30DR+";"DG983-1";"SPDT RF SWITCH Absorptive RF Switch with internal driver";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"IC4";"VLPR-24-858-2";"VLPR-24-858-2";"VLPR248582";"LED Light Pipes Light Pipe Vert SMD Rect Face";"";"";"";"";"LED Light Pipes Light Pipe Vert SMD Rect Face";"21mm";"Bivar";"VLPR-24-858-2";"";"";"";"";"";"";"";"9063748";"http://uk.rs-online.com/web/p/products/9063748";"";
"IC5";"HSWA2-30DR+";"HSWA2-30DR+";"DG983-1";"SPDT RF SWITCH Absorptive RF Switch with internal driver";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
